ID,Domain,Language,Language_Code,PSA,PSA_Type,Source_URL,Source_Title,Publisher,Organization_Type,Published_Date,Licence,Licence_URL,Licence_Evidence,Collected_At,Parallel_Group_ID,Parallel_Link_URL,Review_Status
KAPSA-9B15B8CA691304BBC1,www.infonet-biovision.org,English,en,"Infonet, a channel of the Biovision Farmer Communication Programme (FCP), provides scientific and practical validated information and knowledge related to plant (crop), animal, human and environmental health.",Agricultural extension guidance,https://www.infonet-biovision.org/,Home | Infonet Biovision Home.,Infonet Biovision / Biovision Farmer Communication Programme,Kenya-focused NGO,,Creative Commons licence (site-wide; exact licence variant should be confirmed before a release),https://www.infonet-biovision.org/,Site-wide terms verified at https://www.infonet-biovision.org/,2026-07-15T14:45:40+00:00,,,candidate — provenance and licence verified; review PSA scope and alignment before model training
KAPSA-8C9BAB5E4042899F49,www.infonet-biovision.org,English,en,"The resource gives farmers, trainers, students, and extension workers quick access to up-to-date and locally relevant agricultural information and related topics. Infonet-Biovision’s aim is to increase human and animal welfare and health, improve regional and local food security and at the same time conserve the environment and biodiversity.",Agricultural extension guidance,https://www.infonet-biovision.org/,Home | Infonet Biovision Home.,Infonet Biovision / Biovision Farmer Communication Programme,Kenya-focused NGO,,Creative Commons licence (site-wide; exact licence variant should be confirmed before a release),https://www.infonet-biovision.org/,Site-wide terms verified at https://www.infonet-biovision.org/,2026-07-15T14:45:40+00:00,,,candidate — provenance and licence verified; review PSA scope and alignment before model training
KAPSA-FB7D13DAF242FBD156,www.infonet-biovision.org,English,en,"Home | Infonet Biovision Home.: The Organic Farmer is a magazine with practical information, it is published monthly and is distributed free of charge",Agricultural extension guidance,https://www.infonet-biovision.org/,Home | Infonet Biovision Home.,Infonet Biovision / Biovision Farmer Communication Programme,Kenya-focused NGO,,Creative Commons licence (site-wide; exact licence variant should be confirmed before a release),https://www.infonet-biovision.org/,Site-wide terms verified at https://www.infonet-biovision.org/,2026-07-15T14:45:40+00:00,,,candidate — provenance and licence verified; review PSA scope and alignment before model training
KAPSA-887A0E22B96D7AEC4F,www.infonet-biovision.org,English,en,"Publications provide a range of relevant magazines/brochures with complementary and practical information on agriculture, health, livestock and the environment",Agricultural extension guidance,https://www.infonet-biovision.org/,Home | Infonet Biovision Home.,Infonet Biovision / Biovision Farmer Communication Programme,Kenya-focused NGO,,Creative Commons licence (site-wide; exact licence variant should be confirmed before a release),https://www.infonet-biovision.org/,Site-wide terms verified at https://www.infonet-biovision.org/,2026-07-15T14:45:40+00:00,,,candidate — provenance and licence verified; review PSA scope and alignment before model training
KAPSA-720AC8930933E6FA38,www.infonet-biovision.org,English,en,Home | Infonet Biovision Home.: Introducing knowledge hubs successfully as an innovative strategy for promoting organic agriculture,Agricultural extension guidance,https://www.infonet-biovision.org/,Home | Infonet Biovision Home.,Infonet Biovision / Biovision Farmer Communication Programme,Kenya-focused NGO,,Creative Commons licence (site-wide; exact licence variant should be confirmed before a release),https://www.infonet-biovision.org/,Site-wide terms verified at https://www.infonet-biovision.org/,2026-07-15T14:45:40+00:00,,,candidate — provenance and licence verified; review PSA scope and alignment before model training
KAPSA-C765D6933F0B433C86,www.infonet-biovision.org,English,en,The African armyworm can cause serious crop losses. Armyworms may cause indirect injury to the taproot by cutting stems and/or consuming foliage above ground.,Pest or disease advisory,https://www.infonet-biovision.org/crops-fruits-vegetables/sugarcane,Sugarcane,Infonet Biovision / Biovision Farmer Communication Programme,Kenya-focused NGO,,Creative Commons licence (site-wide; exact licence variant should be confirmed before a release),https://www.infonet-biovision.org/,Site-wide terms verified at https://www.infonet-biovision.org/,2026-07-15T14:45:50+00:00,,,candidate — provenance and licence verified; review PSA scope and alignment before model training
KAPSA-1281F41AD04C5D9D4D,www.infonet-biovision.org,English,en,Sugarcane: African armyworm ( Spodotera exempta ). Mature caterpillars measure up to 4 cm. Ⓒ University of Arkansas,Pest or disease advisory,https://www.infonet-biovision.org/crops-fruits-vegetables/sugarcane,Sugarcane,Infonet Biovision / Biovision Farmer Communication Programme,Kenya-focused NGO,,Creative Commons licence (site-wide; exact licence variant should be confirmed before a release),https://www.infonet-biovision.org/,Site-wide terms verified at https://www.infonet-biovision.org/,2026-07-15T14:45:50+00:00,,,candidate — provenance and licence verified; review PSA scope and alignment before model training
KAPSA-22A3562F55FF649CEF,www.infonet-biovision.org,English,en,Sugarcane: African armyworm ( Spodotera exempta ). Mature caterpillars measure up to 4 cm.,Pest or disease advisory,https://www.infonet-biovision.org/crops-fruits-vegetables/sugarcane,Sugarcane,Infonet Biovision / Biovision Farmer Communication Programme,Kenya-focused NGO,,Creative Commons licence (site-wide; exact licence variant should be confirmed before a release),https://www.infonet-biovision.org/,Site-wide terms verified at https://www.infonet-biovision.org/,2026-07-15T14:45:50+00:00,,,candidate — provenance and licence verified; review PSA scope and alignment before model training
KAPSA-1ECF19CF40E372F754,www.infonet-biovision.org,English,en,"Monitor regularly field margins, low areas where plants have lodged, beneath plant debris around the base of plants, on the ground, and underneath the plant leaves. Check daily young crops if conditions are known to be favourable to the pest.",Pest or disease advisory,https://www.infonet-biovision.org/crops-fruits-vegetables/sugarcane,Sugarcane,Infonet Biovision / Biovision Farmer Communication Programme,Kenya-focused NGO,,Creative Commons licence (site-wide; exact licence variant should be confirmed before a release),https://www.infonet-biovision.org/,Site-wide terms verified at https://www.infonet-biovision.org/,2026-07-15T14:45:50+00:00,,,candidate — provenance and licence verified; review PSA scope and alignment before model training
KAPSA-B4D45247783F9AAC83,www.infonet-biovision.org,English,en,"Spray Bt or botanicals such as neem and pyrethrum extracts. Spray when caterpillars are small. Once caterpillars are mature (about 3 to 3.5 cm long) they may have cause serious damage and it may no longer be economical to treat the crop. For more information on Neem click here , for pyrethrum click here and for Bt click here",Agricultural extension guidance,https://www.infonet-biovision.org/crops-fruits-vegetables/sugarcane,Sugarcane,Infonet Biovision / Biovision Farmer Communication Programme,Kenya-focused NGO,,Creative Commons licence (site-wide; exact licence variant should be confirmed before a release),https://www.infonet-biovision.org/,Site-wide terms verified at https://www.infonet-biovision.org/,2026-07-15T14:45:50+00:00,,,candidate — provenance and licence verified; review PSA scope and alignment before model training
